Grade,name,Hours
8,Математика,4
8,Английски език,18
8,БЕЛ,4
8,Физическо възпитание и спорт,2
8,Час на класа,1
8,Информационни технологии,2
8,Въведение в специалността,1
8,Въведение в специалността - Уп,2
8,Предприемачество,1
8,Философия,1
9,Английски език,4
9,Математика,4
9,История и цивилизация,4
9,Испански език,2
9,Немски език,2
9,Китайски език,2
9,Въведение в специалността,1
9,Физика,3
9,Час на класа,1
9,Физическо възпитание и спорт,2
9,География,2
9,Химия,2
9,БЕЛ,3
9,Биология,3
9,Въведение в специалността - Уп,2
9,Информационни технологии,2
10,БЕЛ,3
10,География,3
10,Физика,2
10,УАСД - Уп,2
10,Увод в ООП,2
10,Час на класа,1
10,Физическо възпитание и спорт,2
10,Испански език,2
10,Немски език,2
10,Китайски език,2
10,Учебна практика по програмиране,1
10,УАСД,1
10,Биология,2
10,Математика,4
10,Химия,2
10,Английски език,2
10,Съвременен уеб дизайн,1
10,История и цивилизация,4
10,Икономика,1
10,Философия,2
11,БЕЛ,3
11,МОП,2
11,Вградени системи,2
11,Час на класа,1
11,Физическо възпитание и спорт,2
11,Испански език,2
11,Немски език,2
11,Китайски език,2
11,ПТД - ФУЧ,1
11,Операционни системи,1
11,Вградени системи - Уп,2
11,ООП,2
11,Гражданско образование,1
11,Английски език,2
11,ООП - C++,2
11,РС - Уп,2
11,Разработка на софтуер,2
11,Учебна практика по бази данни,2
11,Бази данни,1
11,ООП - Java,2
11,Математика,2
11,Операционни системи - Уп,2
12,Час на класа,1
12,Физическо възпитание и спорт,2
12,Испански език,2
12,Немски език,2
12,Китайски език,2
12,Интернет програмиране,2
12,БЕЛ,4
12,Компютърна графика и дизайн,2
12,Приложения с ГПИ,2
12,Приложения с ГПИ - Уп,1
12,Софтуерно инженерство,2
12,Гражданско образование,1
12,Английски език,2
12,Програмиране за вградени системи,1
12,Програмиране за вградени системи - Уп,4
12,Математика,2
12,Интернет програмиране - Уп,4
12,Мрежови протоколи и технологии - Уп,2
12,Мрежови протоколи и технологии,1
